id,product_name,images,description,category,color_name,color_hex,best_seller,net_wt,# of shades
11,,,,EYES,Black Pearl ,404040,,,
11,,,,EYES,Misty Smoke ,999999,,,
12,Infinitude,Infinitude P1016129.jpg|Infinitude PB246760.jpg,"Get long and curly with FS Infinitude! This mascara is formulated to make lashes go fuller, longer and sculpturally curled without making them feel heavy. It’s also clump-resistant and smudge-proof.",EYES,Black,000000,,8g,1
13,Mascarade,,A definitive bold statement in volume mascara! Its rich formula superbly builds up your lashes without clumping and dragging them! Let your lashes stand out today!,EYES,Black,000000,,12g,1
14,Eyebrow Powder,"Eyebrow Powder PB266813.jpg|Eyebrow Powder PB266820-.jpg|Eyebrow Powder PB266825.jpg
",Easy to blend four color brow powder.,EYES,N/A,,,5g,1
15,Eyebrow Pencil,Eyebrow Pencil P1016149.jpg,"A classic brow pencil with rich pigment that makes eyebrows look blended and natural. Ideal for sharpening up the brows, extending the brow’s tail, or covering visible gaps.",EYES,Light Brown,3f1a08,,1.4g,2
15,,,,EYES,Dark Brown,371707,TRUE,,
16,Eye Pencil,Eye Pencil P1016188.jpg,A rich-pigmented soft tip eye pencil that can be used as brow liner and eyeliner.,EYES,Black,000000,,1.65g,2
16,,,,EYES,Dark Brown,371707,,,
17,Kohl Eye Pencil,,"Intense, powder-smooth eye pencil that lavishly defines your eyes with long-lasting effect! It can also double as an eyebrow pencil.",EYES,Fudge,3e2c12,,?g,4
17,,,,EYES,Caramel,9f691c,,,
17,,,,EYES,Nutmeg,452c09,,,
17,,,,EYES,Tawny,2d1c03,,,
18,Long-Last Waterproof Liquid Eyeliner,Long Last Waterproof Liquid Eyeliner.jpg,A proven long-lasting liquid eyeliner that won’t smudge nor smear. It has a firm tip that makes application easy and fast. Available in rich black.,EYES,Black,000000,TRUE,1.7mL,1
19,Gel Eyeliner,Gel Eyeliner PB246640-.jpg|Gel Eyeliner PB246660.jpg,"A long-wearing, gel-based, water-proof liquid eyeliner that’s soft on the lids and rich in definition. ",EYES,Black,000000,TRUE,4g,2
19,,,,EYES,Dark Brown,5f3122,,,
20,Duo Eyebrow Pen,Duo Eyebrow Pen P1016162.jpg,"A unique, retractable eyebrow pen with dual colored slanting tip. It has a rich powdery finish that will surely give a better highlight and a deeper definition to the brows.",EYES,1,,,0.45g,4
20,,,,EYES,2,,,,
20,,,,EYES,3,,,,
20,,,,EYES,4,,,,
21,Twin Eyeliners,,"A match made for the eyes! This two-in-one eyeliner pen comes with a fine-point liquid eyeliner on one side and a richly pigmented kohl pencil on the other. Truly, a functional eye pen with precise elegance!",EYES,Black,000000,,0.69g,1
22,Luscious Lipstick,Luscious Lipstick PB246717.jpg|Luscious Lipstick PB246725.jpg,A collection of rich-pigmented lipsticks in matte and creamy shades.,LIPS,Matte Ambrosia ,d43d2a,,4g,18
22,,,,LIPS,Matte Brick ,ac391e,TRUE,,
22,,,,LIPS,Matte Camelia ,b40e1c,,,
22,,,,LIPS,Matte Fuchsia ,e83475,,,
22,,,,LIPS,Matte Orchid ,c01e35,,,
22,,,,LIPS,Matte Primrose ,db2a60,,,
22,,,,LIPS,Matte Scarlet ,d02424,,,
22,,,,LIPS,Matte Sienna ,bb3e20,,,
22,,,,LIPS,Matte Twig ,9a351f,TRUE,,
22,,,,LIPS,Creamy Caramel ,c5733b,,,
22,,,,LIPS,Creamy Cherry ,f1346c,,,
22,,,,LIPS,Creamy Fudge ,c43918,,,
22,,,,LIPS,Creamy Nectar ,db5d37,TRUE,,
22,,,,LIPS,Creamy Nut ,d78450,,,
22,,,,LIPS,Creamy Raspberry ,d21b31,,,
22,,,,LIPS,Creamy Spice ,c42829,,,
22,,,,LIPS,Creamy Strawberry ,ff55b6,,,
22,,,,LIPS,Creamy Velvet ,b83626,,,
23,Colorific Lipstick,Colorific P1015968.jpg|Colorific P1015982.jpg|Colorific P1016000.jpg,"A collection of rich, indulgent lip colors with a semi-matte finish that is sure to leave a bold and lasting statement!  ",LIPS,Feisty Red ,a4002e,,4g,8
23,,,,LIPS,Stunning Magenta ,d60088,,,
23,,,,LIPS,Orange Burst ,f7650d,,,
23,,,,LIPS,Vivid Lavender ,ac078f,,,
23,,,,LIPS,Sultry Ruby ,b30f2a,,,
23,,,,LIPS,Glam Fireworks ,d41e1e,,,
23,,,,LIPS,Deep Amber ,702626,,,
23,,,,LIPS,Rose Bouquet ,c00838,,,
24,Nude Lipstick,Nude Lipstick P1016099.jpg|Nude Lipstick P1016101.jpg|Nude Lipstick P1016108.jpg,"A nakedly luxurious collection of natural-hue lipsticks! FS Nude lipstick comes in rich, bare colors that speak confidence and elegance!",LIPS,Rosewood ,af5b3d,,4g,7
24,,,,LIPS,Pale Pink ,fe8a9b,,,
24,,,,LIPS,Pink Mauve ,a75a5c,,,
24,,,,LIPS,Bare Cinnamon ,9a683f,,,
24,,,,LIPS,Watermelon Kiss ,9a382b,,,
24,,,,LIPS,Persimmon ,ea774a,,,
24,,,,LIPS,Honey Beige ,a25b31,,,
25,True Light Liquid Lipstick,True Light PB246686.jpg|True Light PB246698-.jpg|True Light PB246706-.jpg,"Color-rich liquid lipstick with vitamin E. Comes with a one-of-a-kind illuminating cap and side mirror that make color application easy, convenient and fun even in dim-lighted rooms.",LIPS,Glossy Chili ,94061f,TRUE,6mL,9
25,,,,LIPS,Glossy Blossom ,ff3f82,,,
25,,,,LIPS,Glossy Tulip ,783c3c,,,
25,,,,LIPS,Glossy Rose ,9f1c32,,,
25,,,,LIPS,Glossy Peony ,b24457,,,
25,,,,LIPS,Coral ,ba433a,,,
25,,,,LIPS,Cerise ,80011c,,,
25,,,,LIPS,Sakura,e96161,,,
25,,,,LIPS,Petunia ,e00064,,,
26,Eyelash Curler,Eyelash curler PB246601.jpg|Eyelash Curler PB246617.jpg,Featuring enhanced precision design that gives optimum lift and curl to your lashes! FS Eyelash Curler is lightweight and easy to control. Its edges have been specially designed to provide more stability and safety. Comes with flexible silicon pad that’s gentle on the lashes. Curved angle suits all eye shapes.,ACCESSORIES,N/A,,TRUE,,1
27,Eyelash Curler Refill,Eyelash Curler refill PB246489.jpg,A pack of 3 silicon strips for FS Eyelash curler,ACCESSORIES,N/A,,,,1
28,Blending Puff,Blending Puff P1016068.jpg|Blending Puff Pink.jpg|Blending Puff Purple.jpg|Blending Puff Yellow.jpg|Blending Puff.png|Blending Puffs Blue.jpg|Blending Puffs Flesh.jpg,"A unique blending sponge designed to give you the best control over your makeup routine. Its soft pointed tip allows you to blend hard-to-reach areas evenly such as eye corners, brow bones and side of nose.

Blending Puff can also be easily used for makeup contouring over other areas on the face such as the cheeks and jaw line.

Blending Puff can be used wet or dry. It expands when wet and returns to its original shape when dries up.",ACCESSORIES,Yellow,,,,5
29,Quad Pallette,Quad Palette PB246448.jpg|Quad Palette PB246461-.jpg,An empty compact case that comes with a mirror and can hold four FS Single Eyeshadows.,ACCESSORIES,N/A,,,,1
30,Sea Sponge,Sea Sponge P1016076.jpg,Eco-friendly natural makeup sponge that's unbelievably soft on your skin. Just soak the sponge in clean water until it softens. Squeeze out excess liquid and it's ready for use with your favorite face foundation. It is hygienic and can be re-used multiple times as it allows cosmetic stains to be easily cleaned and washed off by water. Keep dry after use.,ACCESSORIES,N/A,,,,1
31,Brush Set,brushset leather PB246532.jpg|Brushset Leather PB246555-.jpg | Brushset Leather PB246559.jpg|BrushSet Leather.jpg,"This seven-piece make-up brush set is the perfect travel companion you will want in your bag! Made with fine brush hair, these brushes are gentle on the skin and easy to use. Because each brush vary in function, they form a complete set that can be used for all kinds of makeup application. FS Brush Set comes with an elegant leather pouch for storage and protection. Leather pouch is available in Black and Red.",ACCESSORIES,Black-colored pouch,,,,2
32,Angled Blush-On Brush,angledBrush.jpg,"Made of soft, synthetic, densely-packed synthetic hair, tapered brush head, ideal for enhancing the contours of the cheekbones and facial structure, comes with a long black wooden handle for comfortable grip during application.",ACCESSORIES,N/A,,,,1
33,Brow/Lashes Brush,browLashesBrush.jpg,"A handy two-in-one comb that grooms, combs and defines the brows and lashes, made of natural boar-bristle brush to groom eyebrows into place, blend in brow color, or easily prepare for application of eye gel products.  The plastic lash comb separates lashes to remove excess mascara and clumps.
",ACCESSORIES,N/A,,,,1
34,Brow/Mascara Brush,browMascaraBrush.jpg,"Made of medium-sized brush head with tapered spiky tip that grooms, combs and defines lashes and brows.",ACCESSORIES,N/A,,,,1
35,Concealer,concealerBrush.jpg,"Made of dual-toned, densely packed, small slightly tapered, flat brush head, ideal for applying cream or liquid make up products to conceal small areas of the face to achieve maximum coverage; comes with wooden handle for comfortable grip during application.",ACCESSORIES,N/A,,,,1
36,Foundation Brush,foundationBrush.jpg,,ACCESSORIES,N/A,,,,1
37,Lip Brush,lipBrush.jpg,"Comes in a small, slightly slanted firm brush head for even and precise application of lipsticks or lip gloss,  the slanted brush edge can be used to define and contour  the lips; ensures long-lasting wear of lipsticks.",ACCESSORIES,N/A,,,,1
38,Lip Brush (Travel),LipBrush_travel.jpg,,ACCESSORIES,N/A,,,,1
39,Loose Powder Brush,loosePowderBrush.jpg,"Made of soft, dual-toned, densely-packed synthetic hair, comes in flat top brush head for quick and easy application, and to seal make-up with a sheer finish.",ACCESSORIES,N/A,,,,1
40,Mascara Brush (Travel),mascaraBrush_travel.jpg,,ACCESSORIES,N/A,,,,1
41,Mini Eyeliner Brush (Travel),miniEyelinerBrush.jpg,,ACCESSORIES,N/A,,,,1
42,Mini Slanting Brush,miniSlantingBrush.jpg,,ACCESSORIES,N/A,,,,1
43,Pointed Crease Brush,pointedCreaseBrush.jpg,"Made of short, soft, pointed wispy brush head, ideal for applying powder products in the crease of the eye for a perfectly blended effect.",ACCESSORIES,N/A,,,,1
44,Pointed Crease Brush (Travel),pointedCreaseBrush_travel.jpg,,ACCESSORIES,N/A,,,,1
45,Powder Brush,powderbrush.jpg,,ACCESSORIES,N/A,,,,1
46,Slanting Brush (Travel),slantingBrush.jpg,,ACCESSORIES,N/A,,,,1
47,Slanted Concealer Brush,slantedConcealerBrush.jpg,"Made of densely-packed angled-cut soft brush head with long wooden handle for comfortable grip and application.  The slanted cut allows precise application of base make up to conceal skin imperfections, creating a spotless base for the face.",ACCESSORIES,N/A,,,,1
48,Slanting Eyebrow Brush,slantingEyebrowBrush.jpg,,ACCESSORIES,N/A,,TRUE,,1
49,Primer,Primer P1016117.jpg|Primer P1016119.jpg,,,,,,,168
,,,,,,,,,
,total SKU ,,,,,,,,
